#Present in minus of 3 samples	Abundance < 5e-05	Present in databank of contaminants
Cluster_4511	Cluster_4456	
Cluster_4512	Cluster_4461	
Cluster_4522	Cluster_4464	
Cluster_4539	Cluster_4471	
Cluster_4540	Cluster_4472	
Cluster_4550	Cluster_4487	
Cluster_4557	Cluster_4496	
Cluster_4564	Cluster_4503	
Cluster_4572	Cluster_4511	
Cluster_4586	Cluster_4512	
Cluster_4587	Cluster_4522	
Cluster_4601	Cluster_4539	
Cluster_4609	Cluster_4540	
Cluster_4611	Cluster_4550	
Cluster_4612	Cluster_4557	
Cluster_4617	Cluster_4564	
Cluster_4626	Cluster_4572	
Cluster_4629	Cluster_4586	
Cluster_4638	Cluster_4587	
Cluster_4658	Cluster_4601	
Cluster_4664	Cluster_4609	
Cluster_4665	Cluster_4611	
Cluster_4673	Cluster_4612	
Cluster_4675	Cluster_4615	
Cluster_4691	Cluster_4617	
Cluster_4701	Cluster_4626	
Cluster_4717	Cluster_4629	
Cluster_4720	Cluster_4638	
Cluster_4730	Cluster_4658	
Cluster_4736	Cluster_4664	
Cluster_4753	Cluster_4665	
Cluster_4758	Cluster_4673	
Cluster_4759	Cluster_4675	
Cluster_4762	Cluster_4691	
Cluster_4767	Cluster_4701	
Cluster_4789	Cluster_4717	
Cluster_4794	Cluster_4720	
Cluster_4798	Cluster_4730	
Cluster_4805	Cluster_4736	
Cluster_4808	Cluster_4753	
Cluster_4809	Cluster_4758	
Cluster_4814	Cluster_4759	
Cluster_4816	Cluster_4762	
Cluster_4830	Cluster_4767	
Cluster_4831	Cluster_4789	
Cluster_4832	Cluster_4794	
Cluster_4837	Cluster_4798	
Cluster_4839	Cluster_4805	
Cluster_4843	Cluster_4808	
Cluster_4845	Cluster_4809	
Cluster_4846	Cluster_4814	
Cluster_4881	Cluster_4816	
Cluster_4893	Cluster_4830	
Cluster_4904	Cluster_4831	
Cluster_4911	Cluster_4832	
Cluster_4914	Cluster_4837	
Cluster_4925	Cluster_4839	
Cluster_4951	Cluster_4843	
Cluster_4966	Cluster_4845	
Cluster_4967	Cluster_4846	
Cluster_4975	Cluster_4881	
Cluster_4984	Cluster_4893	
Cluster_4993	Cluster_4904	
Cluster_4999	Cluster_4911	
Cluster_5005	Cluster_4914	
Cluster_5006	Cluster_4925	
Cluster_5014	Cluster_4951	
Cluster_5060	Cluster_4966	
Cluster_5069	Cluster_4967	
Cluster_5080	Cluster_4975	
Cluster_5083	Cluster_4984	
Cluster_5094	Cluster_4993	
Cluster_5104	Cluster_4999	
Cluster_5113	Cluster_5005	
Cluster_5126	Cluster_5006	
Cluster_5127	Cluster_5014	
Cluster_5129	Cluster_5060	
Cluster_5131	Cluster_5069	
Cluster_5133	Cluster_5080	
Cluster_5136	Cluster_5083	
Cluster_5149	Cluster_5094	
Cluster_5150	Cluster_5104	
Cluster_5153	Cluster_5113	
Cluster_5176	Cluster_5126	
Cluster_5177	Cluster_5127	
Cluster_5185	Cluster_5129	
Cluster_5186	Cluster_5131	
Cluster_5187	Cluster_5133	
Cluster_5199	Cluster_5136	
Cluster_5215	Cluster_5149	
Cluster_5221	Cluster_5150	
Cluster_5236	Cluster_5153	
Cluster_5238	Cluster_5176	
Cluster_5241	Cluster_5177	
Cluster_5242	Cluster_5185	
Cluster_5289	Cluster_5186	
Cluster_5291	Cluster_5187	
Cluster_5301	Cluster_5199	
Cluster_5319	Cluster_5215	
Cluster_5320	Cluster_5221	
Cluster_5325	Cluster_5236	
Cluster_5327	Cluster_5238	
Cluster_5329	Cluster_5241	
Cluster_5333	Cluster_5242	
Cluster_5344	Cluster_5289	
Cluster_5347	Cluster_5291	
Cluster_5350	Cluster_5301	
Cluster_5351	Cluster_5319	
Cluster_5352	Cluster_5320	
Cluster_5359	Cluster_5325	
Cluster_5361	Cluster_5327	
Cluster_5365	Cluster_5329	
Cluster_5367	Cluster_5333	
Cluster_5382	Cluster_5344	
Cluster_5390	Cluster_5347	
Cluster_5415	Cluster_5350	
Cluster_5422	Cluster_5351	
Cluster_5432	Cluster_5352	
Cluster_5448	Cluster_5359	
Cluster_5463	Cluster_5361	
Cluster_5469	Cluster_5365	
Cluster_5472	Cluster_5367	
